Metacritic score,Positive,Negative,Recommendations,Price,Average playtime forever
60,224,62,235,24.99,0
85,1047,282,1247,9.99,102
64,56,13,0,11.99,0
66,1214,167,789,9.99,376
56,42,35,0,14.99,0
78,3046,260,2828,2.99,269
76,2151,373,778,15.0,93
65,456,74,286,14.99,563
80,732,197,704,0.99,197
68,102,22,0,19.99,0
80,2709,341,2431,44.99,1084
77,12577,4653,48672,0.0,0
75,351,115,0,4.99,7
76,807,265,818,9.99,139
69,0,0,0,4.99,0
83,3780,130,3254,7.99,302
75,499,37,360,9.99,156
68,47,17,0,9.99,0
35,14,30,0,4.99,0
85,13659,523,11846,39.99,920
69,596,51,281,14.99,1713
65,94,5,0,9.99,0
50,16,7,0,14.99,0
54,271,120,244,3.99,129
75,9051,993,8232,19.99,234
69,2733,2236,2426,29.99,1175
60,1008,923,1368,24.99,1027
65,1870,342,1585,9.99,183
81,1946,294,1264,4.99,365
78,901,62,720,14.99,52
75,30025,7029,26715,39.99,1814
80,172,25,187,4.99,53
80,42,37,0,5.99,0
69,19,8,0,14.99,0
77,13094,760,11063,19.99,674
78,2033,296,2119,19.99,640
67,243,97,0,11.99,2
59,172,76,129,9.99,7
86,133,15,107,19.99,182
75,1720,319,1288,1.99,143
77,12469,1380,7078,14.99,379
83,3861,599,3995,5.99,641
74,533,79,592,5.99,6137
81,632,82,349,8.99,146
79,183,35,196,9.99,18
73,77,54,115,14.99,66
62,14402,988,13777,7.99,145
83,114,15,108,3.99,0
79,858,102,780,6.99,372
76,3645,483,3571,29.99,359
75,10343,623,9288,24.99,604
74,385,172,519,9.99,2362
80,585,196,552,14.99,344
85,212,4,155,14.99,0
83,3226,139,3142,14.99,485
79,3845,80,3577,19.99,91
63,1743,1007,344,9.99,1177
65,11697,2365,8973,29.99,352
81,252,48,189,19.99,0
72,770,128,765,14.99,0
80,6312,861,5567,19.99,555
64,12529,1160,11421,12.99,3719
65,253,158,289,0.99,73
85,65561,5809,54706,19.99,3905
72,1035,169,877,29.99,462
80,614,86,435,2.99,161
75,5865,1253,6082,19.99,523
81,3615,625,3169,19.99,127
68,17030,10793,9170,59.99,503
60,108,29,109,12.99,0
71,40,12,0,19.99,0
68,3293,357,2770,19.99,363
76,1844,850,2298,4.99,379
90,108353,1715,91584,9.99,484
64,2168,334,2074,14.99,341
72,12067,3340,1886,0.0,732
74,473,96,360,14.99,500
82,395,50,399,2.99,151
74,1093,306,865,19.99,681
52,744,462,797,14.99,283
58,459,192,208,19.99,31
69,1206,442,1216,14.99,563
81,3638,739,3564,0.0,5091
76,385,127,480,5.99,145
85,11893,1550,12390,19.99,860
73,9381,765,8319,9.99,766
72,2741,2507,2285,59.99,859
66,986,429,1072,0.99,976
82,82,5,0,4.99,1
72,4095,599,4069,14.99,2770
76,1712,864,2409,14.99,154
78,3396,222,2430,14.99,113
59,166,117,116,9.99,187
56,17,4,0,0.99,0
82,10198,1700,10607,24.99,358
57,1101,3107,2021,14.99,240
73,166,134,144,7.99,77
69,995,380,818,19.99,1104
53,74,53,0,2.99,0
67,875,104,503,6.74,35
80,9541,1462,8116,29.99,733
55,58,22,0,9.99,0
72,27514,2418,28320,29.99,630
76,2710,388,1921,7.99,181
73,796,259,686,9.99,491
81,246926,67506,1697,0.0,4707
77,52,6,0,9.99,0
53,1317,169,1376,19.99,152
75,3476,1402,2382,29.99,318
68,838,343,776,19.99,438
81,14502,1105,9690,14.99,2538
71,1887,343,2031,19.99,415
68,284,79,200,3.99,34
78,2097,368,1973,24.99,706
81,148,2,122,19.99,0
62,442,207,223,2.99,35
76,1393,172,1270,24.99,134
67,322,132,255,19.99,381
86,33220,4133,34628,19.99,1323
85,24527,1115,22704,29.99,669
61,1446,768,1495,19.99,199
35,130,27,127,0.59,0
71,77,3,0,14.99,0
70,325,68,335,15.99,171
82,226,153,0,2.99,97
55,514,176,450,19.99,316
69,1388,1080,1769,14.99,54
80,1040,150,513,9.99,156
65,604,417,868,59.99,742
82,5338,339,3985,14.99,555
67,559,85,607,5.99,6
65,191,36,109,14.99,0
77,2372,96,2207,7.99,120
74,25111,3184,16661,9.99,552
75,22125,5688,24290,19.99,1410
90,1477153,300437,14300,0.0,37162
57,923,220,950,4.99,53
80,304,96,127,2.99,214
54,125,76,112,19.99,220
72,872,124,758,19.99,407
77,3546,481,2948,24.99,3066
72,147,51,129,14.99,198
75,114,58,137,13.99,0
81,645,88,577,14.99,51
63,491,230,560,10.99,3532
41,80,31,0,19.99,0
60,1891,245,1892,4.99,2300
43,0,0,0,14.99,0
86,241,135,285,12.99,1155
73,106,26,120,2.99,0
86,2195,476,2298,23.99,77
69,1364,517,1051,0.99,367
67,27,15,0,7.99,142
72,1477,1067,1669,14.99,430
51,251,181,303,8.99,76
82,466,378,716,14.99,44
82,4094,505,4278,17.99,2948
58,29,17,0,2.39,2054
69,1051,177,992,29.99,1108
79,1140,137,865,16.99,7
76,132,19,132,4.99,0
70,44,27,0,3.99,326
53,30,35,0,19.99,0
74,3250,2613,3126,29.99,422
77,565,47,555,14.99,0
57,343,349,537,24.99,335
71,1379,132,1346,9.99,311
76,862,261,968,14.99,112
32,67,43,0,4.99,233
67,4490,1357,4828,4.99,379
71,6850,2451,7632,11.99,351
54,109,133,184,19.99,26
69,92,13,0,14.99,585
74,86,10,0,19.99,275
73,945,102,746,14.99,165
70,876,136,710,9.99,196
57,40,104,116,4.99,0
79,1620,229,1267,0.0,222
79,384,17,351,19.99,0
76,15326,2017,14229,39.99,4649
46,10,28,0,2.99,1
72,4788,446,4506,14.99,845
69,161,125,177,2.99,97
64,772,75,0,0.0,9
72,3552,290,3380,7.49,691
73,127,28,126,0.51,248
79,1674,105,905,2.99,218
83,10236,902,10469,29.99,1307
82,9759,457,7721,29.99,1804
67,8436,2045,6583,24.99,1037
77,28716,676,25432,14.99,502
34,35,12,0,2.99,0
83,6350,444,4004,14.99,289
80,3698,3392,792,0.0,1877
80,9203,1019,5795,19.99,664
76,11119,826,9333,14.99,264
80,2095,239,2075,19.99,603
81,12323,8735,12693,39.99,1708
67,198,106,136,0.99,237
76,274,68,280,14.99,22
76,2601,159,2319,19.99,505
84,0,0,0,19.99,0
80,43963,1906,43397,19.99,1486
77,1769,104,1427,17.99,44
59,69258,2762,61277,9.99,437
74,15023,3441,1439,0.0,232
74,7498,2905,5192,19.99,264
70,1655,723,0,0.0,40
69,292,96,261,14.99,0
55,216,45,0,12.99,374
84,862,45,772,19.99,219
55,346,533,558,9.99,152
71,923,217,929,19.99,3648
83,16181,620,12807,59.99,4992
57,724,420,888,29.99,793
50,21,12,0,9.99,0
76,297,17,267,10.99,0
80,18844,2094,14900,14.99,395
88,13018,1863,10569,39.99,1953
93,3749,156,3699,39.99,1350
76,4793,1368,4700,29.99,726
79,550,187,629,0.0,252
88,99479,5321,84833,9.99,3508
94,35307,1639,29646,19.99,0
66,1253,372,1175,19.99,136
84,7898,2665,919,0.0,1261
54,1170,372,1104,9.99,81
81,87281,16216,80521,59.99,2389
75,60,1,0,10.99,0
81,2737,1182,1729,34.99,1042
68,110,34,116,4.99,87
79,5736,571,5438,24.99,238
52,2148,1016,1194,19.99,65
83,11854,306,9234,9.99,278
74,7761,1545,7467,19.99,567
50,1305,101,1205,5.99,223
80,1966,660,1291,9.99,20
79,371,204,135,4.99,6
65,810,402,0,0.0,217
72,1057,276,1040,14.99,132
74,776,193,913,3.99,179
80,64084,18659,63527,29.99,5981
67,961,397,1029,0.0,162
78,1392,78,1269,4.99,530
81,3702,540,3324,9.99,119
71,406,161,447,9.99,573
65,6260,1868,6287,14.99,373
64,2626,884,2051,34.99,381
79,1219,99,918,19.99,100
67,1032,230,1165,19.99,176
75,5043,715,5196,24.99,1179
77,2949,2132,3194,0.0,290
73,3105,453,3140,19.99,814
81,84095,20197,1289,0.0,4216
69,2614,303,2227,9.99,333
79,736,82,665,9.99,94
87,2395,99,2162,5.99,183
81,597,150,477,9.99,124
83,280999,47510,9213,0.0,2506
72,5603,637,3490,9.99,461
77,1596,310,1557,19.99,542
78,411,118,255,9.99,127
77,21561,2329,18790,24.99,690
81,146,9,150,6.99,0
70,1513,110,1333,9.99,151
75,270,57,227,14.99,49
85,4075,370,3804,39.99,711
64,4143,2003,1774,3.99,1090
68,408,26,368,14.99,190
85,5252,559,5416,14.99,571
69,4068,1161,4203,29.99,311
49,392,66,243,4.99,356
86,765,89,735,6.99,73
83,1547,91,1251,5.99,94
61,66,58,0,0.0,27
87,856,77,608,19.99,408
80,637,22,576,9.99,138
76,392,97,358,9.99,0
43,14,53,0,14.99,212
37,339,645,601,29.99,0
83,27006,1594,25497,19.99,319
71,3464,246,2873,11.99,107
76,3633,366,3099,39.99,759
72,62,24,0,4.99,16
72,3382,1403,3901,19.99,77
58,359,195,291,3.99,574
55,3534,1101,3677,14.99,208
78,467,115,489,4.99,90
68,1569,442,1660,19.99,356
73,3110,257,2893,24.99,381
89,24733,13341,23354,19.99,2735
79,668,128,715,7.49,59
79,849,134,243,19.99,14
90,14222,832,12669,10.04,966
69,30586,7573,27386,7.49,2228
62,97,78,108,9.99,0
75,342,37,308,9.99,508
68,31410,3179,26839,29.99,4041
63,60,44,0,19.99,0
73,102,49,0,19.99,0
93,3359,84,2970,14.99,186
77,4077,265,4160,3.99,149
70,22,9,0,9.99,20
64,18888,3617,191,0.0,2035
77,1917,335,1537,9.99,230
77,6433,867,6759,2.99,251
74,338,14,318,9.99,0
74,17367,1824,5644,0.0,375
69,1646,443,1577,12.49,277
79,1420,481,0,0.0,59
52,3119,1675,2869,19.99,636
70,24,4,0,2.99,0
62,4536,1057,4779,14.99,303
55,69,8,0,0.0,288
63,1548,76,1518,6.99,220
87,1142,170,1195,19.99,536
82,669,21,642,19.99,1219
53,71,98,128,9.99,667
76,6609,2185,147,0.0,1917
66,86,25,0,14.99,0
83,17093,3084,15962,49.99,5264
64,273,154,328,19.99,0
71,719,242,281,9.99,191
76,295,118,359,39.99,3479
68,156,69,123,7.99,162
73,22,10,0,0.0,0
77,5471,704,4927,9.99,1005
57,72,26,0,2.99,0
70,113,22,125,14.99,0
86,60877,7951,63798,9.99,822
78,1831,174,1643,19.99,445
74,5506,1355,5884,49.99,605
70,48,10,0,9.99,0
60,44,6,0,9.99,0
71,272,46,223,19.99,169
77,8253,1392,7783,12.99,327
76,141,13,133,19.99,413
91,16469,1698,16519,29.99,2369
48,15,4,0,14.99,0
92,6355,481,5115,19.99,1183
70,1553,602,854,9.99,132
77,354,137,443,9.99,401
82,9944,2192,11064,39.99,1086
75,1146,145,936,19.99,443
90,11145,601,10263,6.99,246
89,16580,547,15622,19.99,538
56,377,518,725,29.99,77
43,2681,754,0,0.0,94
82,59,16,0,9.99,1
52,163,158,256,14.99,153
53,36,38,0,9.99,0
78,3536,434,3193,29.99,212
71,131,10,0,19.99,0
65,425,222,0,0.0,241
72,588,36,561,4.49,0
80,10524,640,10220,14.99,156
80,1199,309,593,19.99,174
72,12218,3404,13265,34.99,610
75,78,51,0,0.99,73
78,7814,268,6485,12.99,318
77,415,137,477,4.99,302
72,22152,2904,18756,29.99,492
73,106,38,131,6.99,0
72,4729,583,4939,34.99,355
81,6399,2041,6302,59.99,444
88,135151,5348,92195,9.99,9171
73,34,6,0,12.99,435
71,606,198,558,4.99,155
77,84,117,126,4.99,0
87,1153,159,1251,9.99,144
74,1494,163,1477,19.99,114
45,270,266,258,5.99,474
48,74,114,169,9.99,0
65,2561,812,3110,19.99,205
81,2310,661,2282,9.99,432
93,141779,5852,128257,44.99,4120
59,525,206,549,14.99,203
82,15590,1251,12737,4.99,466
89,90731,3749,81650,39.99,932
84,693,51,678,10.49,115
68,49,3,0,14.99,146
61,395,104,411,9.99,246
75,6,7,0,9.99,0
70,152,73,178,9.99,8
72,246,28,152,9.99,213
81,2315,143,1717,9.99,343
94,119516,6099,93311,29.99,719
71,439,49,407,9.99,442
78,14813,8585,9112,59.99,544
76,5969,930,4654,14.99,250
74,5454,234,4755,12.99,140
81,1884,580,476,0.0,610
39,64,117,0,3.99,0
80,11600,2368,10656,19.99,236
84,63,6,0,3.99,305
78,9620,2552,8896,14.99,243
83,2589,222,2642,24.99,302
82,56628,12268,48422,39.99,2754
65,1070,348,1224,19.99,159
81,468,108,287,14.99,299
69,639,181,590,12.99,269
78,13493,8403,9112,59.99,1516
71,1094,208,954,14.99,537
63,865,406,882,4.99,141
83,27583,9318,26259,29.99,787
73,25,5,0,19.99,129
68,247,41,240,4.99,234
78,18516,2785,14217,39.99,1149
72,736,145,611,29.99,74
65,1589,514,1510,29.99,417
66,137,122,0,14.99,211
56,4806,724,2291,0.0,215
77,129,16,102,19.99,221
75,1112,340,742,29.99,369
75,3507,218,3203,24.99,1006
68,224,9,207,9.99,0
38,7455,1873,7007,29.99,925
75,581,199,348,14.99,219
66,36,9,0,14.99,0
71,7860,968,5974,0.0,310
73,590,244,576,19.99,406
76,319,159,409,4.99,34
74,6341,910,5697,19.99,187
84,54848,12144,606,0.0,1706
89,478,43,493,9.99,272
69,628,177,683,4.99,652
65,736,337,800,49.99,758
72,107,126,101,9.99,215
67,330,59,303,14.99,79
62,2655,389,2469,19.99,206
77,68,15,0,14.99,0
80,10800,1219,8747,19.99,767
73,1478,282,1099,4.99,332
76,47058,5906,45485,19.99,635
58,90,56,121,4.99,0
65,256,132,241,5.99,2173
40,192,116,230,4.99,195
76,8882,889,7606,19.99,403
84,51759,2493,41402,4.99,1288
83,6327,529,6114,9.99,589
80,4480,389,4360,19.99,286
49,115,62,137,1.99,0
73,67,25,0,2.49,0
67,176,149,0,2.99,211
61,632,282,798,9.99,157
62,1031,417,817,19.99,586
81,87943,9721,81882,14.99,945
67,221,65,256,9.99,0
80,61,52,0,19.99,0
75,3590,917,3962,29.99,1375
53,30,17,0,19.99,58
82,426,53,411,9.99,1053
59,62,13,0,19.99,320
70,2311,345,1076,2.99,152
85,1714,88,1647,19.99,686
88,110,38,141,9.99,18
82,243,59,261,6.99,274
60,1308,404,1385,0.84,189
81,121,76,0,19.99,0
75,279,9,121,14.99,241
66,915,175,684,4.99,218
78,2457,390,1814,14.95,200
58,189,39,106,9.99,229
72,5117,411,4407,9.99,906
76,267,239,368,9.99,256
90,13801,1156,13128,14.99,496
83,337,71,275,9.99,99
64,28,4,0,6.99,0
68,397,123,282,24.99,393
75,675,140,665,0.79,337
68,965,291,1124,9.99,95
66,63,34,0,3.59,616
77,1021,42,1020,2.99,0
82,1728,163,1362,19.99,452
76,116,3,0,24.99,0
72,565,198,565,15.99,194
80,799,146,804,14.99,28
41,651,585,656,9.99,257
68,2168,315,2060,14.99,268
53,229,189,327,34.99,78
87,107577,8177,80874,59.99,12635
68,36,7,0,14.99,0
76,313,104,220,19.99,300
67,2175,1227,2668,19.99,707
58,680,413,895,19.99,518
50,139,91,193,4.99,0
91,154,9,0,0.0,0
88,195,19,188,14.99,0
76,2416,375,2374,12.99,405
63,204,265,372,29.99,221
65,273,89,282,2.99,0
69,980,361,1043,9.99,148
90,25868,2598,15251,24.99,3458
77,1595,290,1518,8.99,224
80,415,67,267,9.99,213
69,61,58,0,4.99,14
75,643,201,716,14.99,383
69,0,0,0,4.99,0
80,164,19,159,14.99,575
75,464,110,528,4.99,207
83,1066,79,944,24.99,251
84,500,121,445,4.99,23
73,9544,1153,9742,19.99,216
82,61153,6739,30307,0.0,2309
83,2243,127,2148,14.99,41
72,3244,801,3045,0.0,0
74,1607,95,1286,29.99,160
50,1291,1093,1889,4.99,123
55,132,35,102,4.99,11
76,598,178,683,6.99,133
73,488,248,596,14.99,108
85,112,33,125,29.99,0
69,452,63,379,12.99,187
85,22309,1547,14830,29.99,1123
72,3546,1540,4884,39.99,1365
82,276,19,283,34.99,0
70,52,31,0,14.99,0
74,6026,464,4946,24.99,224
83,6076,86,5544,44.99,2837
82,166,26,144,19.99,0
57,822,466,917,9.99,213
76,1322,304,1419,19.99,56
73,20504,467,19950,4.99,177
71,65,18,0,14.99,0
85,127,27,143,3.49,16
82,73796,14606,65642,29.99,2032
57,77,38,0,29.99,159
90,256,210,375,4.99,23
81,111202,22833,103792,19.99,6074
80,173,53,191,14.99,23
74,439,142,400,19.99,61
86,206420,8185,130347,14.99,718
66,7863,3377,4436,19.99,310
62,78,77,133,1.79,450
81,1042,108,615,7.99,110
78,358,53,354,14.99,914
68,305,19,248,19.99,146
80,274,93,174,12.99,0
66,19226,3256,16726,39.99,410
70,85,20,0,9.99,0
78,16568,945,12618,19.99,1764
57,89,64,140,24.99,342
75,867,158,886,4.99,1110
52,840,774,1376,29.99,186
76,3181,1096,3476,19.99,2157
72,3663,883,3045,0.0,147
81,145902,11330,115043,14.99,4476
81,23426,967,21124,19.99,294
74,706,95,269,14.99,149
68,19146,3482,14148,19.99,558
64,369,370,594,4.99,18
74,3127,296,2760,9.99,157
84,28120,3435,16970,0.0,22882
72,143,25,0,0.0,0
76,11044,1424,8653,14.99,508
59,33,23,0,12.99,0
65,219,49,191,0.0,44
62,122,150,148,9.99,0
87,36158,6261,34672,6.99,928
72,280,124,330,9.89,0
70,5078,1578,5008,19.99,722
71,122,17,0,17.99,0
38,154,186,240,9.99,14
86,233,161,372,6.99,2
63,239,185,142,19.99,70
80,7480,875,7857,29.99,1117
79,425,102,365,19.99,44
78,6558,635,6428,19.99,754
76,1424,156,1494,19.99,108
84,1616,788,2172,0.0,586
63,49,23,0,11.99,0
79,14900,2460,8652,19.99,349
85,262,18,253,9.99,13
85,2741,237,1559,14.99,178
83,289,71,330,24.99,0
81,887,152,915,2.99,162
83,23498,4082,22516,6.99,807
85,49197,9097,21579,0.0,954
62,40,35,0,14.99,0
75,1276,344,1276,19.99,249
80,444,71,205,7.99,43
68,539,143,643,9.99,262
82,14023,2611,13277,29.99,1559
72,444,13,240,9.99,129
60,117,22,130,14.99,91
60,478,558,690,32.99,801
63,69,49,0,9.99,0
77,208,23,153,12.99,467
78,33,7,0,29.99,0
77,199,41,191,7.99,76
82,889,37,873,5.99,133
77,1876,149,1835,9.99,3040
84,43900,4403,38169,14.99,610
76,1120,390,1187,2.99,350
66,11047,5360,11055,59.99,1015
70,2546,548,2098,14.99,468
72,388,147,446,9.99,315
68,475,97,258,19.99,199
77,10646,4341,48677,0.0,0
93,190880,2662,178350,24.99,2075
75,2391,284,2061,1.99,337
73,358,63,314,6.99,80
76,1460,277,1367,14.99,109
52,195,139,241,9.99,92
64,1346,905,1855,4.99,60
76,562,102,427,9.99,318
68,66,29,0,6.99,0
84,257,29,175,7.99,6
74,694,350,731,0.99,190
76,1826,191,1848,16.99,44
64,229,77,235,19.99,110
44,58,48,0,19.99,0
76,11817,1473,11577,19.99,467
57,995,302,999,1.99,358
76,1265,129,1256,19.99,351
79,606,193,651,9.99,391
78,2062,130,2002,9.99,214
69,1520,915,1208,14.99,175
80,2586,241,2377,9.99,226
77,1825,781,1925,9.99,121
74,742,177,489,8.74,191
80,3637,548,822,1.99,165
79,147,59,170,0.0,29
49,127,322,227,14.99,123
59,4867,680,456,0.0,1063
66,921,173,696,19.99,795
50,421,281,620,6.99,80
76,3136,118,2592,14.99,456
79,27578,1434,13202,14.99,895
68,504,136,606,19.99,0
57,75,15,0,9.99,0
53,1027,956,1659,19.99,377
75,7895,3097,7518,29.99,409
85,199048,7354,138909,24.99,3323
79,15805,3953,12472,29.99,561
81,1345,131,1358,13.13,130
84,71,24,0,5.99,0
66,1634,800,2188,14.99,143
76,177,21,187,6.99,0
79,43271,861,35071,29.99,1147
72,21834,2672,10959,19.99,233
85,77,4,0,12.99,0
75,2509,309,2167,7.99,146
83,3551,155,2320,39.99,3387
80,369,26,338,7.49,18
76,1659,692,1141,19.99,327
80,1023,126,689,9.99,107
70,3903,905,2061,19.99,397
70,2613,248,1897,19.95,389
84,131,23,260,4.99,9
80,7,0,0,5.99,1
77,12513,901,9048,19.99,433
79,256,27,254,14.99,10
85,1367,94,1119,0.0,266
83,65,13,0,7.99,0
79,1844,196,1176,9.99,372
70,227,47,266,29.99,0
68,80,27,0,19.99,244
82,23178,2360,22728,19.99,630
80,596,89,364,14.99,305
72,278,52,205,9.99,351
78,8890,2453,9771,19.99,907
75,5061,803,3296,19.99,603
77,2772,1281,2433,29.99,540
72,1855,549,1571,19.99,356
72,361,114,353,19.99,264
45,1427,2610,3203,9.99,173
78,589,110,476,5.99,457
74,400,58,329,14.99,163
73,10687,7067,11310,29.99,343
63,165,102,152,14.99,8
63,65,101,129,14.99,181
54,8694,6043,9493,19.99,602
75,1528,559,1441,11.99,306
75,15683,930,15513,19.99,196
77,805,199,806,14.99,127
68,322,56,111,1.19,200
74,204969,21853,170391,29.99,12276
76,698,118,572,19.99,307
76,262,32,241,24.99,57
81,616,185,615,19.99,510
78,1311,101,653,14.99,248
65,34,40,0,6.99,50
79,383,25,281,19.99,0
75,3179,504,2695,14.99,696
55,493,328,729,14.99,478
87,30274,5300,30555,4.99,2223
79,5828,572,5615,14.99,829
70,820,79,849,7.99,45
48,217,94,137,3.99,0
47,266,164,162,19.99,204
76,3094,416,2641,9.99,249
63,80,82,136,19.99,0
75,3723,305,3268,24.99,542
75,1670,201,959,9.99,126
66,7488,1406,6407,3.99,141
83,5978,319,5425,4.99,268
79,11635,913,0,0.0,523
74,1061,168,723,19.99,460
36,64,34,0,0.0,0
81,4575,228,3862,6.66,288
69,23716,3895,21902,19.99,1787
69,944,117,362,14.99,124
69,272,93,194,9.99,72
77,4220,455,3758,14.99,369
78,102,30,0,5.99,2
75,938,569,908,9.99,93
80,245,172,231,9.99,27
52,184,55,171,19.99,7
87,20795,856,19208,14.99,494
57,25,6,0,9.99,92
54,129,66,181,14.99,0
86,2679,393,2499,19.99,411
82,11983,1507,12382,26.24,866
57,54,51,0,7.99,36
59,128,48,0,9.99,0
61,1655,691,1332,14.99,180
70,39,14,0,9.99,0
69,55,23,0,0.99,15
72,0,0,454,4.99,0
54,3123,1656,3129,29.99,1415
84,5895,625,5109,14.99,232
86,117,17,128,4.99,0
78,395,9,315,19.99,0
64,927,747,1019,19.99,42
78,100,5,0,7.99,0
47,291,613,352,8.99,212
60,149,117,0,11.99,152
78,2093,204,1818,1.99,379
83,38439,3363,35258,19.99,2558
63,533,100,452,0.0,0
57,633,253,464,9.99,33
75,516,51,493,14.99,59
81,6342,1584,6475,29.99,183
67,585,105,601,9.99,83
77,677,82,574,14.99,546
72,702,69,528,14.99,302
63,47153,10891,1329,0.0,651
60,325,188,343,9.99,639
72,1283,184,932,19.99,109
62,3397,886,3239,14.99,289
89,18448,2498,13161,29.99,1892
77,3359,190,2920,9.99,328
72,24,12,0,3.99,0
62,10483,4022,9086,4.99,371
83,6828,4586,10372,19.99,1827
82,1849,486,2183,9.99,545
62,97,22,0,9.99,0
85,100,39,0,9.99,997
69,410,212,453,4.99,332
82,191,44,191,29.99,2
69,134,21,0,9.99,294
76,31,7,0,1.99,225
75,1233,111,1051,19.99,0
35,85,106,152,4.99,672
65,225,121,159,14.99,29
72,689,165,616,1.19,548
62,52847,25146,951,0.0,1501
91,71574,5380,51198,49.99,4888
72,212,20,172,4.99,34
85,4794,205,2809,4.99,558
82,881,82,767,2.49,1060
80,1251,258,938,9.99,733
75,652,127,547,4.99,145
80,160,27,0,0.0,0
74,3350,329,3187,14.99,957
81,1273,100,1154,39.99,915
72,749,130,736,19.99,195
78,254,146,195,24.99,146
70,134,88,0,2.99,6
77,1326,440,1347,19.99,230
80,3057,213,2664,14.99,225
95,298300,3638,243925,9.99,874
82,147,24,130,9.99,0
62,1049,856,1662,26.99,689
64,247,160,190,4.95,20
63,316,62,266,9.99,420
81,2644,200,2327,1.29,185
67,0,0,310,6.99,0
89,3583,349,3245,9.99,234
68,29,14,0,9.99,90
56,101,54,108,9.99,255
68,260,184,247,9.99,286
80,4194,1379,4264,39.99,1656
72,13154,3883,9214,9.99,728
72,636,70,418,9.99,209
78,4967,634,4916,19.99,214
66,1120,270,1101,14.99,100
76,511,52,429,19.99,0
66,284,244,399,14.99,4415
81,184,14,192,9.99,5
82,136,10,135,9.99,95
61,106,253,0,0.0,1
69,556,144,633,19.99,105
66,55,15,0,9.99,0
95,153381,2059,243925,9.99,0
60,786,68,821,19.99,168
74,1699,102,1368,24.99,706
79,15678,7033,20063,9.99,793
67,123,35,125,5.99,0
38,270,74,291,14.99,471
78,1195,124,1145,9.99,76
82,252,34,257,7.99,210
81,743,66,709,9.99,30
72,3112,1617,2932,0.0,226
59,214,204,329,19.99,107
57,186,85,190,11.99,78
80,2558,62,2220,5.99,247
77,568,35,512,14.99,0
69,1125,552,1083,4.99,92
85,187151,13180,148933,29.99,3530
54,18,30,0,1.24,0
84,316,31,260,4.99,9377
86,211,47,205,9.99,0
88,306872,51885,220315,29.99,10717
41,24,12,0,9.99,0
82,32180,1165,21606,12.99,4498
75,3105,194,2797,9.99,296
81,627,261,485,2.99,149
77,8902,1456,6509,6.89,426
82,35,1,0,7.99,0
74,1569,372,1420,19.99,698
82,12232,1259,10535,7.47,559
67,69,20,0,9.99,82
83,358,104,776,19.99,0
82,3526,470,3539,6.99,241
78,2074,781,1832,39.99,551
76,470,115,498,24.99,199
69,415,180,0,0.0,620
74,47,9,0,4.99,0
65,55,28,0,14.99,276
70,1524,659,1368,12.99,515
65,458,273,430,9.99,256
73,324,189,329,2.99,82
83,4616,655,4228,49.99,1620
67,309,55,268,14.99,0
74,123,20,112,5.99,0
66,535,180,409,19.99,0
63,660,70,669,19.99,230
71,192,93,222,19.99,63
81,90636,1970,81934,19.99,860
81,1073,54,635,4.99,43
73,1067,389,1046,3.24,503
70,1003,161,901,17.99,216
48,1153,729,1520,19.99,305
87,143,3,137,9.99,0
76,146,15,121,14.99,64
46,157,105,187,24.99,0
42,73,92,121,19.99,0
85,605,81,370,39.99,146
67,185,54,121,14.99,24
69,632,181,771,9.99,145
75,56,31,0,14.99,0
80,24986,1014,20280,14.99,610
84,783,116,805,9.99,14459
78,658,176,391,12.99,42
73,155,43,136,14.99,0
72,585,79,566,9.99,513
84,62666,2675,45398,9.99,1460
76,443,71,336,9.99,84
80,52,32,0,9.99,0
84,1308,64,1235,19.99,245
71,72,4,0,9.99,107
79,482,29,373,19.99,442
79,1208,350,1073,6.24,313
70,130,54,132,0.99,28
64,1328,705,1358,9.99,436
79,443,73,409,9.99,39
75,3552,259,2337,14.99,289
66,206,67,178,19.99,123
68,9148,547,5785,14.99,300
58,94,41,0,9.99,0
69,362,95,312,19.99,180
81,27291,2839,12315,39.99,1295
74,407,21,401,5.99,0
68,26,3,0,9.99,466
69,60,37,0,9.99,663
89,3380,467,933,0.0,350
72,326,66,323,4.99,49
80,15697,1173,8732,14.99,316
82,7488,961,6439,19.99,193
75,674,101,721,19.99,289
80,922,115,584,0.99,234
76,4473,607,4284,14.99,451
67,316,122,361,0.0,293
37,146,217,130,4.99,90
83,1954,219,1772,19.99,516
78,794,48,714,14.99,0
76,80877,37476,70555,14.99,2585
60,703,353,642,9.99,153
86,2504,616,2812,6.99,1169
55,50,5,0,11.99,0
64,3242,633,2761,19.99,556
74,451,67,429,24.99,655
66,2107,235,1939,9.99,747
73,755,96,266,5.99,46
74,2611,410,2748,9.99,197
92,175161,6074,159556,9.99,861
86,12343,597,10010,4.99,143
85,70047,6581,52049,0.0,4336
69,125,8,0,9.99,0
78,1865,75,1669,19.99,93
74,591,129,537,14.99,994
83,20845,1589,17703,19.99,130
68,90,76,0,12.99,166
84,2372,159,2385,14.99,135
62,339,564,427,9.99,210
77,359,37,326,9.99,281
70,8190,948,7025,19.99,379
65,75,21,0,5.99,0
83,19580,708,19056,19.99,1903
64,137,18,115,16.99,0
65,1492,191,1245,0.69,165
85,3275,129,3158,19.99,169
74,34954,4803,25470,19.99,1030
72,13206,1866,11712,44.99,933
82,861,242,835,4.99,312
